Sample ID,Site,Aggregate,ID,Addition,Replicate,Notes,Incubation,Extraction number,N2O,CO2,CH4,TOC,TN,FUM TOC,FUM TN,MBC,MBN,BG,CBH,LAP,NAG,PHOS,FDA,POXC,CUE,CUEFilt,WHC,MWD,proportion_mass,Bulk_density,infiltration,Dry,fPOM_TC,fPOM_13C%,fPOM_TN,fPOM_15N%,oPOM_TC,oPOM_13C%,oPOM_TN,oPOM_15N%,MAOM_TC,MAOM_13C%,MAOM_TN,MAOM_15N%,fPOM_C Comment (13C analysis) ,fPOM (g),oPOM(g),MAOM,proportion fPOM by mass,proportion oPOM by mass,proportion MAOM by mass,TC,TN,C%,N%,Dry soil / wet soil,Infiltration,bulk_density_g.cm3,Proportion <53,Proportion >53,Proportion >250,Proportion >2000
5,C,C,CC5,16O,1,,Done,3,10.74,405.02,0.08,65.87,6.13,114.29,19.64,48.42,13.51,,,,,,23.9340504,246.344,0.030618404,,0.612,,0.12094229,,,,38.31280228,1.086732651,3.491171843,0.367358014,2.731742995,1.086941542,0.501406549,0.367069699,4.914259749,1.083412264,0.675253862,0.368215648,,0.44,3.88,0.7,0.087649402,0.772908367,0.139442231,6.531125969,0.784088746,1.085695486,0.367547787,,,,,,,
6,C,C,CC6,16O,1,,Done,6,11.17,128.02,0.27,41.29,4.7,96.24,11.71,54.95,7.01,,,,,,19.3410912,213.8775,0.258771696,,0.512,,0.146132988,,,,38.50313662,1.086677679,3.471305762,0.367255826,2.161493604,1.086127961,0.412998495,0.367168237,7.482857045,1.084654686,0.928960506,0.368171854,,0.39,3.76,0.87,0.077689243,0.749003984,0.173306773,6.325981465,0.778920583,1.085820109,0.367531972,,,,,,,
7,C,C,CC7,16O,1,,Done,8,10.13,198.28,0.35,47.66,5.19,142.43,9.47,94.77,4.28,444.3271922,34.45913926,16.98389532,54.75123103,170.0136708,20.6946846,217.2599,0.200540582,,0.701,,0.15311709,,,,37.83136966,1.086556742,3.421060383,0.36730692,2.24248394,1.086292877,0.411134904,0.367139041,7.462350047,1.084830602,0.931647536,0.368146307,,0.45,4,0.56,0.089820359,0.798403194,0.111776447,6.410634819,0.747754844,1.085893407,0.367530756,,,,,,,
8,C,C,CC8,16O,1,,Done,6,12.49,93.48,0.13,20.49,6.98,86.16,8.69,65.67,1.71,,,,,,17.0532866,257.2469,0.145866945,,0.498,,0.129763679,,,,52.86757736,1.086600719,5.321717313,0.367328817,2.216576279,1.086127961,0.432916765,0.367332467,6.210198752,1.085006517,0.815288866,0.367901792,,0.47,3.6,0.97,0.093253968,0.714285714,0.192460317,8.118094158,0.99190547,1.085911732,0.367521025,,,,,,,
9,C,C,CC9,16O,1,,Done,5,-2.33,117.82,-0.69,60.57,4.97,98.76,7.08,38.19,2.11,218.6270645,28.14232057,21.42408268,28.93053137,6.772433853,24.1167582,299.4569,0.153012008,,0.452,,0.152786547,,,,50.99245542,1.103034496,5.073682148,0.367263125,1.55473781,1.086754639,0.402598896,0.367358014,7.223611242,1.08491856,1.067487546,0.367642677,Mass 45 saturated; estimated value used; enrichment is underestimated.,0.51,3.49,0.98,0.102409639,0.700803213,0.196787149,8.116830366,1.015436688,1.091569232,0.367421272,,,,,,,
1,C,D,CD1,16O,1,,Done,5,6.15,242.77,-0.7,83.35,12.57,105.89,13.35,22.54,0.78,326.1755428,22.81324442,4.738711462,41.71522364,129.7260711,23.2247791,326.7582,0.039249652,,0.95,,0.448783435,,,,46.79871605,1.083434254,3.615604938,0.367814204,0,0,0,0,11.17539559,1.085072485,1.87783152,0.368828756,,0.2,0,4.9,0.039215686,0,0.960784314,14.67053659,2.136530024,1.084812267,0.368557478,,,,,,,
2,C,D,CD2,16O,1,,Done,6,-4.52,389.95,-0.79,34.3,10.2,131.18,15.38,96.88,5.18,,,,,,21.609297,303.3028,0.078646337,,0.861,,0.433724971,,,,43.08008638,1.083445249,3.633555535,0.367890843,0,0,0,0,11.02027358,1.085094474,1.872583208,0.368759416,,0.11,0,4.8,0.022403259,0,0.977596741,14.03681592,2.12301697,1.0847463,0.368568426,,,,,,,
3,C,D,CD3,16O,1,,Done,5,0.96,225.52,,13.47,4.29,53.99,11.03,40.52,6.74,369.1499226,25.81894197,15.90445149,47.35241603,106.9221372,18.7967973,244.9088,0.049057575,1,0.896,,0.368871464,,,,43.092256,1.083346293,3.639376814,0.367898142,0,0,0,0,11.83977011,1.085204421,2.027873391,0.368971083,,0.21,0,4.93,0.040856031,0,0.959143969,15.19915584,2.293563083,1.084819595,0.368625601,,,,,,,
4,C,D,CD4,16O,1,,Done,5,352.65,453.11,3.99,23.03,2.74,23.67,11.05,0.64,8.31,,,,,,16.7828988,294.6214,0.000303563,,0.898,,0.447072275,,,,49.19732515,1.082763553,3.873931155,0.367938287,0,0,0,0,11.81663078,1.08506149,2.024617135,0.368952836,,0.15,0,4.76,0.030549898,0,0.969450102,15.39573083,2.334813881,1.084621683,0.368500304,,,,,,,
5,C,D,CD5,16O,1,,Done,6,2.64,420.35,-0.1,45.48,5.15,56.06,7,10.58,1.85,,,,,,25.2725032,273.0504,0.004253449,,0.882,,0.417493237,,,,42.85166068,1.083445249,3.52064632,0.367635378,0,0,0,0,10.05737354,1.084984528,1.562310454,0.368693726,,0.08,0,4.99,0.015779093,0,0.984220907,12.47339732,1.777699758,1.084793942,0.368329995,,,,,,,
