Sample ID,Site,Aggregate,Addition,Replicate,Incubation,Location,Extracted (please put a date here),DNA loaction,DNA concentration,N2O,CO2,CH4,TOC,TN,FUM TOC,FUM TN
7,O,B,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,O,C,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,O,D,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,C,Bulk,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
7,C,A,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
7,C,B ,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
7,C,C,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
7,C,D,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
7,C,Bulk,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,C,A,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,C,B ,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,C,C,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,C,D,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,C,Bulk,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,C,A,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,C,B,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,C,C,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
7,C,D,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,O,Bulk,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,O,A,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,O,B ,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,O,C,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,O,D,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,O,Bulk,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
8,O,A,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
8,O,B ,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
8,O,C,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
8,O,D,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
8,O,Bulk,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,O,A,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,O,B,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,O,C,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,O,D,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,C,Bulk,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
8,C,A,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
8,C,B ,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
8,C,C,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
8,C,D,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
8,C,Bulk,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,C,A,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,C,B ,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,C,C,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,C,D,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,C,Bulk,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,C,A,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,C,B,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,C,C,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
8,C,D,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,O,Bulk,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,O,A,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,O,B ,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,O,C,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,O,D,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,O,Bulk,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
9,O,A,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
9,O,B ,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
9,O,C,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
9,O,D,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
9,O,Bulk,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,O,A,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,O,B,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,O,C,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,O,D,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,C,Bulk,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
9,C,A,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
9,C,B ,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
9,C,C,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
9,C,D,18O,2,TBD,TBD,TBD,TBD,,,,,,,,
9,C,Bulk,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,C,A,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,C,B ,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,C,C,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,C,D,18O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,C,Bulk,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,C,A,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,C,B,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,C,C,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
9,C,D,16O,1,TBD,TBD,TBD,TBD,,,,,,,,
